page,table_id,text
3,page_3_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Item 1. | Business | 1"
3,page_3_table_2_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Item 10. | Directors, Executive Officers and Corporate Governance | 53"
3,page_3_table_3_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Item 12. | Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters | 53"
3,page_3_table_4_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Item 14. | Principal Accountant Fees and Services | 53"
3,page_3_table_5_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Item 15. | Exhibit and Financial Statement Schedules | 54"
26,page_26_table_1_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Products | 36.5% 36.3% 35.3%"
30,page_30_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Consolidated Statements of Comprehensive Income for the years ended September 30, 2023, September 24,
2022 and September 25, 2021 | 29"
30,page_30_table_0_row_2,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September 24, 2022
and September 25, 2021 | 31"
30,page_30_table_0_row_4,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Notes to Consolidated Financial Statements | 33"
41,page_41_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Foreign exchange contracts $ 4,317 $ 2,819 | $ 7,136"
46,page_46_table_1_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Proceeds from/(Repayments of) commercial paper, net $ (1,333) | $ 5,264 | $ (357)"
46,page_46_table_1_row_4,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Repayments of commercial paper (2,645) | (7,257) | (6,567)"
48,page_48_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Common stock repurchased (471,419) | (568,589) (656,340)"
48,page_48_table_0_row_2,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Common stock outstanding, ending balances 15,550,061 | 15,943,425 16,426,786"
49,page_49_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Income tax benefit related to share-based compensation expense $ (3,421) | $ (4,002) | $ (4,056)"
51,page_51_table_1_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: U.S. $ 33,276 | $ 31,119"
51,page_51_table_1_row_2,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Other countries 4,661 | 3,738"
57,page_57_table_0_row_0,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Consolidated Statements of Comprehensive Income for the years ended September 30, 2023, September 24,
2022 and September 25, 2021 | 29"
57,page_57_table_0_row_2,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September 24, 2022
and September 25, 2021 | 31"
57,page_57_table_0_row_4,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: Notes to Consolidated Financial Statements | 33"
64,page_64_table_4_row_1,"Financial table row.
Columns: 2023 | 2022 | 2021
Row: on September 17 of each year, beginning on September 17, 2016, and on the maturity date. As of | ,"
